QuestionID,SourceFolder,Part,Label,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Translation,ImageFile,AudioFile
E3-P2-5,3,2,Question 5,Do you know if the Malaysian restaurant near Hyde Park is open today?,Hyde Park is always open on weekends.,My mother could teach you how to cook.,Most establishments are closed today because it's a holiday.(正解),,C,"你知道靠近海德公園的那家馬來西亞餐廳今天有開嗎？

a. 海德公園週末都會對外開放

b. 我母親可以教你如何燒菜

c. 大部分公司行號今天都會關門，因為是假日",,T03-02-024.mp3
E3-P2-6,3,2,Question 6,Whose backpack is this behind the sofa?,Please step away from the bag.,"It's Trent Donaldson's, Mrs. Maxwell.(正解)",You can fit so much stuff in it.,,B,"在沙發後面背包是誰的？

a. 請遠離那個背包

b. Maxwell太太，那是Trent Donaldson的包包

c. 裡面可以放得下很多東西",,T03-02-002.mp3
E3-P2-7,3,2,Question 7,What time will the graduation ceremony commence?,My daughter graduated at the top of her class.,Your cap and gown are in the closet where you left them.,Everything will begin at eleven o'clock sharp.(正解),,C,"畢業典禮何時會舉行？

a. 我女兒畢業時是全班第一名

b. 你把禮帽和長袍留在衣櫥裡了

c. 十一點整準時開始",,T03-02-010.mp3
E3-P2-8,3,2,Question 8,How is it that I only have fifty dollars left after last night?,"Dinner was quite expensive, and you bought a new dress.(正解)",She said your bank account is looking great.,"In my opinion, this place is far too expensive.",,A,"昨天晚上過後我的錢包裡怎麼會只剩五十元？

a. 晚餐有點貴，而且你買了一件新洋裝

b. 她說你的銀行賬戶看起來沒問題

c. 我的意見是，這個地方真的是太貴了",,T03-02-007.mp3
E3-P2-9,3,2,Question 9,Can you tell me when the next payday will be?,"Yes, I'll pass your files along right away.","For Pete's sake, log out of your email account already!",All paychecks are to be sent out on the tenth of each month.(正解),,C,"可以告訴我下一次發薪日的時間嗎？

a. 是，我會立刻給你檔案

b. 我的天啊，你總算登出你的電郵信箱了

c. 所有的薪資會在每個月的十號支付",,T03-02-005.mp3
E3-P2-10,3,2,Question 10,Why is he stepping down as head chairman of the company?,He told me that he wants to spend more time with his family. (正解),He has been working here for fourteen years.,I believe everything that he says.,,A,"為什麼他當上公司董事長後還辭職？

a. 他告訴我他想要花多點的時間陪家人

b. 他已經在這裡工作十四年

c. 我相信所有他說的話",,T03-02-021.mp3
E3-P2-11,3,2,Question 11,Which of these trails will lead me to the electricity station?,I hear that the scenery on this trail is very beautiful this time of year.,You'll need to take the one to the right.(正解),You need a helmet to enter the premises.,,B,"哪條路可以帶我到電子用品店？

a. 我聽說這條路的風景在今年這時節非常漂亮

b. 你會需要走右邊這條

c. 在進入這建築物前，你需要戴安全帽",,T03-02-012.mp3
E3-P2-12,3,2,Question 12,"This is the best French restaurant in the city, am I right?","French cuisine is delicious, but it's a bit too strange for my taste.",Have you tried the escargot?,I can't argue with you on that.(正解),,C,"這是這個城市裡最棒的法國餐廳，對吧？

a. 法國菜很好吃，但對我的口味來說有點怪

b. 你試過法式烤蝸牛嗎？

c. 我同意你說的",,T03-02-014.mp3
E3-P2-13,3,2,Question 13,Who designed the poster for the upcoming exhibit on Abraham Lincoln?,Janis Day did it all by herself. (正解),Abraham Lincoln was a very courageous man.,The poster was put up in reception area earlier this afternoon.,,A,"誰設計了即將開展的Abraham Lincoln (林肯總統)展覽的海報？

a. 全部都是Janis Day 自己設計的

b. Abraham Lincoln(林肯總統)是位十分英勇的人

c. 這海報在下午稍早時被擺在接待區",,T03-02-018.mp3
E3-P2-14,3,2,Question 14,"Excuse me, which of these cold medications has fewer side effects?",You must be Mrs. Andrews.,This one here will give you fewer side effects. (正解),The doctor said that the prescription was valid until next month.,,B,"不好意思，哪一種感冒藥的副作用最小？

a. 你一定是Andrews太太

b. 這裡的這一種副作用比較小

c. 醫生說這份處方籤到下個月都還可以使用",,T03-02-017.mp3
E3-P2-15,3,2,Question 15,When will you come back from Japan?,I'll get back next Thursday afternoon.(正解),The ticket cost me 300 dollars!,The best time to visit Japan is in autumn.,,A,"你什麼時候會從日本回來？

a. 我下星期四下午回來

b. 這張機票花了我300美元！

c. 秋天是最適合拜訪日本的季節",,T03-02-003.mp3
E3-P2-16,3,2,Question 16,"Excuse me, ma'am. Does this phone have an alarm?",Every phone these days has that function. (正解),"This phone goes for $550, and it comes in three colors.",We need to make the phone call as soon as possible.,,A,"不好意思，女士。請問這支電話有鬧鐘功能嗎？

a. 現代的電話每一支都有那個功能

b. 這台電話要550元，有三個顏色

c. 我們需要盡快打這通電話",,T03-02-011.mp3
E3-P2-17,3,2,Question 17,Did you hear that Marge got in a car accident last night?,Heaven help the fool who stole my car!,It is obviously that I never liked her.,"Oh my goodness, that's terrible!(正解)",,C,"你有聽說Marge昨晚出車禍了嗎？

a. 願上天憐憫那位偷我車子的笨蛋！

b. 很明顯地我從沒喜歡過她

c. 天哪，那太糟糕了！",,T03-02-008.mp3
E3-P2-18,3,2,Question 18,"Mike, what does the recipe call for?","Sorry, I don't eat meat or seafood.","Looks like you'll need mushrooms, garlic and onions.(正解)",I've never cooked a meal in my life.,,B,"Mike，這份食譜需要什麼材料？

a. 抱歉，我不吃肉或海鮮

b. 看來你需要蘑菇，大蒜與洋蔥

c. 我活到現在從沒煮過一道菜",,T03-02-009.mp3
E3-P2-19,3,2,Question 19,This doesn't look familiar. Are you sure we're going the right way?,"Of course, I entered the address into the GPS. (正解)",This man is crazy.,Come on! I told you to study several times.,,A,"這裡看起來很陌生。你確定我們走這條對嗎？

a. 當然，我已經在GPS鍵入地址了

b. 這男的瘋了

c. 拜託！我跟你說幾遍要讀書了？",,T03-02-013.mp3
E3-P2-20,3,2,Question 20,The temperature's going to drop tonight. Do we have extra blankets?,I hate staring at a blank screen.,They're in the closet.(正解),I really need help using my equipment.,,B,"今晚開始氣溫會下降。我們有額外的毯子嗎？

a. 我討厭盯著空白的螢幕畫面看

b. 都在衣櫥裡

c. 我真的需要有人協助我使用裝備",,T03-02-020.mp3
E3-P2-21,3,2,Question 21,"Have you filled out the application form for your entry visa, sir?",My passport is expired.,No. Would you please lend me a pen?(正解),"Yes, I've been here several times.",,B,"你填寫了入境簽證的申請表嗎，先生？

a. 我的護照過期了

b. 還沒有。可以請你借我一支筆嗎？

c. 是的，我來過這裡好幾次了",,T03-02-023.mp3
E3-P2-22,3,2,Question 22,Why haven't you called your mother?,"The last time I saw you, you were with two tall women.","I've been very busy lately, but I'll do it shortly.(正解)",Over the phone would be the best way to communicate.,,B,"你為什麼還沒打電話給你母親？

a. 最後一次看到你時，你和兩個高個子女人在一起

b. 我最近非常的忙碌，但我會儘快打給她

c. 打電話會是溝通最好的方式",,T03-02-004.mp3
E3-P2-23,3,2,Question 23,Which bus can take me to Commonwealth and 5th Avenue the quickest?,The bus stop is over there.,Bus number 345 will get you there in a snap. (正解),I hear there is an excellent restaurant down the load.,,B,"哪一班巴士可以最快到卡門威爾斯與第五大道的路口？

a. 巴士站在那邊

b. 345號巴士最快

c. 我聽說那條路再過去有一間很棒的餐廳",,T03-02-006.mp3
E3-P2-24,3,2,Question 24,"Frank Thomas was a baseball player, right?","Yes, he played first base for the Chicago White Sox.(正解)",Something tells me that it's going to rain.,Frank always loved to smoke cigarettes.,,A,"Frank Thomas是位棒球選手，對吧？

a. 是，他是芝加哥白襪隊的一壘手

b. 我覺得今天會下雨

c. Frank一直都喜歡抽煙",,T03-02-025.mp3
E3-P2-25,3,2,Question 25,How often do you study Vietnamese?,"Due to my work schedule, I only get around to it once per week.(正解)",I go to Vietnam twice per year for business trips.,"Vietnamese sounds difficult, but I'd like to learn it.",,A,"你多常研讀越南語？

a. 根據我的工作時間，我一個禮拜只能唸一次

b. 我每年去越南出差兩次

c. 越南語聽起來很難，但我想學",,T03-02-015.mp3
E3-P3-1,3,3,Question 1,How many nights did the woman originally plan to stay in the hotel?,one,two(正解),three,four,B,"該名女子本來打算在飯店住幾晚？

A.1

B. 2

C. 3

D. 4",,T03-03-013-01.mp3
E3-P3-2,3,3,Question 2,What two changes does the woman want to make?,longer stay and extra person(正解),longer stay and one person less,shorter stay and extra person,shorter stay and one less person,A,"以下變動哪兩項是該名女子想要做的？

A.停留久一點，多增加一人

B. 停留久一點，減少一人

C. 停留短一點，多增加一人

D. 停留短一點，減少一人",,T03-03-013-02.mp3
E3-P3-3,3,3,Question 3,Look at the graphic. Which room did the woman choose in the end?,Business Traveler,Econo-Room,Family Suite(正解),VIP Penthouse,C,"請看圖表。此女人最後選了以下哪一種房型？

A. 商旅房型

B. 經濟房型

C. 家庭套房型

D. VIP豪華房型",,T03-03-013-03.mp3
E3-P3-4,3,3,Question 4,Where are the man and woman?,at home,at the airport(正解),in a taxi,in an airplane,B,"以下何者是這位男士與女士的所在地？

a 在家裡

b. 機場

c. 計程車裡

d. 在飛機上",,T03-03-002-01.mp3
E3-P3-5,3,3,Question 5,What is happening in this situation?,They are having trouble buying plane tickets.,Their flight is late.(正解),They are boarding a plane.,They have a two-hour layover.,B,"這個狀況中發生了什麼事？

a. 他們買機票有一些問題

b. 他們的班機遲到了

c. 他們在登機

d. 他們有兩小時的待轉機時間",,T03-03-002-02.mp3
E3-P3-6,3,3,Question 6,Was the problem solved by the end of the conversation?,"No, so they went home.","Yes, the engine was fixed and they were able to board the plane.","No, they are waiting to find out. (正解)","Yes, they were able to catch both of their flights.",C,"最後問題是否獲得解決？

a. 沒有，所以他們回家了

b. 有，引擎修好了，他們能夠登機了

c. 沒有，他們在等待問題解決

d. 有，他們兩班飛機都能趕上",,T03-03-002-03.mp3
E3-P3-7,3,3,Question 7,What kind of talk is this?,an employee self-evaluation(正解),an interview for a new position,a budget proposal discussion,a casual chat about a promotion,A,"這是什麼性質的對話？

A.員工的自我評量

B.新職位的面試

C.預算提案的討論

D.關於升遷的閒聊",,T03-03-011-01.mp3
E3-P3-8,3,3,Question 8,"Look at the graphic. What does ""Period 1"" represent?",the first week of the month,the first month of the year,the first 3 months of the year(正解),the first 4 months of the year,C,"請看圖表。「Period 1」代表以下何者意思？

A. 該月的第一週

B. 該年的第1月

C. 該年的前3個月

D. 該年的前4個月",,T03-03-011-02.mp3
E3-P3-9,3,3,Question 9,What goal has the woman set for the upcoming period?,to beat her previous sales record,to get back an old customer(正解),to be more efficient at work,to get a raise,B,"此女士對即將到來的一季有什麼目標？

A. 超過她先前的銷售記錄

B. 贏回一個老客戶

C. 工作效率更高

D. 加薪",,T03-03-011-03.mp3
E3-P3-10,3,3,Question 10,Why does the woman want to talk to her boss?,She wants to talk to her about her drinking problem.,She does not say why she wants to talk to her.(正解),She wants to talk to her about her son.,She wants to talk to her about Jim in sales.,B,"為什麼這女士想跟她老闆談話？

a. 她想和她談她的酗酒問題

b. 她沒有說為什麼她想和她談話

c. 她想和她談她的兒子

d. 她想和她談銷售部Jim的事情",,T03-03-005-01.mp3
E3-P3-11,3,3,Question 11,What is the woman's opinion of her boss?,She thinks her boss gets nervous very easily.,She does not think highly of her boss.(正解),She wishes her boss would not come to work.,She thinks her boss a very serious woman.,B,"這女士對她老闆的想法是什麼？

a. 她覺得她老闆很容易感到緊張

b. 她對她老闆的評價不高

c. 她希望她的老闆不會來工作

d. 她覺得她的老闆是一位非常嚴肅的女人",,T03-03-005-02.mp3
E3-P3-12,3,3,Question 12,What can we infer about the boss?,She works hard from home.,She is a responsible mother.,She is a fun person to be around.,She won't be there much longer.(正解),D,"我們可以怎麼推斷這位老闆？

a. 她在家認真工作

b. 她是一位負責任的媽媽

c. 她是個好玩的人

d. 她不會待在這裡很久",,T03-03-005-03.mp3
E3-P3-13,3,3,Question 13,What is the problem with the chair?,It hasn't arrived yet.,It broke in half. (正解),The warranty expired.,It's the wrong model.,B,"這張椅子怎麼了？

a. 還沒抵達

b. 壞成兩半

c. 保固期已過

d. 寄錯商品",,T03-03-006-01.mp3
E3-P3-14,3,3,Question 14,When will the problem be fixed?,It cannot be fixed.,It will be fixed in two days.,in the next five days(正解),in one year,C,"問題何時會被解決？

a. 無法解決

b. 在未來兩天會被修好

c. 在接下來的五天內

d. 一年內",,T03-03-006-02.mp3
E3-P3-15,3,3,Question 15,How did the woman handle the situation?,She explained why the product was damaged.,She told the customer the product would be replaced.,She forwarded the call to her superior.(正解),She denied that any problem existed.,C,"這位女士如何處理這個情況？

a. 她解釋這件商品為何被損壞。

b. 她告知顧客商品會被替換。

c. 她將來電轉接給她的上級。

d. 她否認那個問題的存在。",,T03-03-006-03.mp3
E3-P3-16,3,3,Question 16,Where are they having this conversation?,at the mall,in the man's office,in the locker room,in the woman's office(正解),D,"他們在哪裡談話？

a. 在購物中心

b. 在這男士的辦公室

c. 在個人用品儲物室

d. 在這女士的辦公室",,T03-03-004-01.mp3
E3-P3-17,3,3,Question 17,What is the man in trouble for?,for not turning in his uniform and nametag,for not knowing which cologne people will like,for inappropriate conduct at work(正解),for not asking people to try on the cologne,C,"這男人為何會陷入困境？

a. 沒有歸還制服和名牌

b. 不知道人們喜歡哪一種古龍水

c. 不適當的處理工作

d. 沒有詢問人們是否想試擦古龍水",,T03-03-004-02.mp3
E3-P3-18,3,3,Question 18,What is the store's normal policy for selling cologne?,to spray it in the air so customers can smell it,to ask before spraying a customer on the wrist(正解),to only spray women with cologne,to not spray cologne in the store ever,B,"以下何者是這間店販售古龍水的正常程序？

a. 噴在空氣裡這樣顧客就可以聞到它

b. 再噴在顧客的手腕上之前先詢問

c. 只噴古龍水在女性身上

d. 再也不能店內噴古龍水",,T03-03-004-03.mp3
E3-P3-19,3,3,Question 19,What mistake did the man make?,He wrote something negative about his manager on his Twitter page.,He allowed his company's website to be hacked into.,He posted an inappropriate photo on the Internet.,He mistook his company's social media account for his own. (正解),D,"此男士犯了什麼錯？

A.他在他的Twitter頁面上寫了關於他的經理的負面評價。

B.他讓公司的網站遭受駭客入侵。

C.他在網上發布了一張不雅照。

D.他把公司的社交媒體帳戶誤認成自己的。",,T03-03-012-01.mp3
E3-P3-20,3,3,Question 20,What did the man do as soon as he realized his mistake?,He removed the content. (正解),He apologized to his boss.,He changed the website's security settings.,He did a virus scan on the computer.,A,"該名男子在意識到自己的錯誤後馬上採取以下何種動作？

A. 刪除了內容。

B. 向老闆道歉。

C. 變更了網站的安全設定。

D. 在電腦上執行病毒掃描。",,T03-03-012-02.mp3
E3-P3-21,3,3,Question 21,Look at the graphic. What department does Meg Jerrand work for?,human resources(正解),payroll,management,accounting,A,"請看圖表。Meg Jerrand為以下哪一個部門工作？

A. 人力資源部門

B. 薪資部門

C. 管理部門

D. 會計部門",,T03-03-012-03.mp3
E3-P3-22,3,3,Question 22,Why do they have to work on the weekend?,Mrs. Stanphill is upset that people made plans.,The layoffs have produced more work for everyone.(正解),Mrs. Stanphill wants to hang out with everybody.,They need to make up for the last weekend.,B,"為什麼他們週末需要工作？

a. Stanphill 太太對大家已經訂好活動而感到低落

b. 裁員加重大家的工作量

c. Stanphill 太太想要和大家一起出去

d. 他們需要彌補上個週末的工作",,T03-03-009-01.mp3
E3-P3-23,3,3,Question 23,What recreational plans did the man have for the weekend?,He is going to spend time with his family.,He is going to work at the office.,He doesn't have any plans.,He is going to a play. (正解),D,"這男士週末有什麼娛樂計畫？

a. 他打算花時間和家人相處

b. 他打算在辦公室工作

c. 他沒有任何計畫

d. 他打算去看戲劇表演",,T03-03-009-02.mp3
E3-P3-24,3,3,Question 24,Do you think the man believes the woman can get the weekend off for everybody?,"Yes, he thinks it will be guaranteed.",He doesn't care.,"No, he is skeptical.(正解)","No, she won't even try.",C,"你覺得這位男士相信女子可以為每個人爭取到週末休息嗎？

a. 是的，他覺得可以保證

b. 他不在乎

c. 不，他很懷疑

d. 不，她甚至不會去嘗試",,T03-03-009-03.mp3
E3-P3-25,3,3,Question 25,Where are the speakers?,in their house(正解),at an engagement party,outside on the street,in a fitting room,A,"以下何者是這些談話者的所在處？

a. 在他們房子裡

b. 在訂婚派對

c. 在路上

d. 在試衣間",,T03-03-007-01.mp3
E3-P3-26,3,3,Question 26,What is this conversation about?,Whether they should give a gift of clothing or not.,The pictures that will be taken at the party.,Which suit to buy.,The clothes that the man will wear.(正解),D,"以上對話與以下何者選項相關？

a. 他們是否該送衣服當禮物

b. 這場派對上拍攝的照片

c. 該買哪件西裝

d. 這男士所穿的衣服",,T03-03-007-02.mp3
E3-P3-27,3,3,Question 27,Why does the woman want her boyfriend to look nice?,Because her sister is his boss.,Because photographs will be taken today. (正解),Because she wants him to make new professional contacts.,Because the mayor will be there.,B,"為什麼這女士想要她的男友看起來很體面？

a. 因為姐姐是他的老闆

b. 因為今天會拍照

c. 因為她想要他認識專業人士

d. 因為市長會出席",,T03-03-007-03.mp3
E3-P3-28,3,3,Question 28,Who is the woman in the conversation?,a doctor(正解),the man's best friend,the man's mother,a receptionist,A,"以下何者誰是這段對話中的女子？

a. 醫生

b. 這男士最好的朋友

c. 這男士的母親

d. 接待員",,T03-03-008-01.mp3
E3-P3-29,3,3,Question 29,How is the woman going to figure out what is wrong with Mr. Kennedy?,get him to change his diet,make him take some medicine,give him some cream,do some allergy tests(正解),D,"這女士要怎麼知道Kennedy先生的狀況為何？

a. 讓他改變他的節食計畫

b. 讓他服用一些藥物

c. 給他一些藥膏

d. 做一些過敏測試",,T03-03-008-02.mp3
E3-P3-30,3,3,Question 30,What will happen next?,The man will pay his bill.,The food will be served.,The nurse will do some tests. (正解),The man will receive a prescription.,C,"等一下要發生什麼事？

a. 這位男士將會繳帳單

b. 即將會上菜

c. 護士會做一些測試

d. 這男士會收到醫師處方籤",,T03-03-008-03.mp3
E3-P3-31,3,3,Question 31,What is the woman trying to decide?,Whether or not she can pay for yoga classes.,Whether or not she wants to become a yoga teacher.(正解),Whether or not she can pay back the money she borrowed from the yoga teacher.,Whether or not she is good with people.,B,"以下何者是這位女士的決定？

a. 她是否能支付瑜珈課程

b. 她是否要成為瑜珈老師

c. 她是否能償還向瑜珈老師借得錢

d. 她是否能和他人和平共處",,T03-03-001-01.mp3
E3-P3-32,3,3,Question 32,What kind of relationship do you think they have?,husband and wife(正解),father and daughter,daughter and son,brother and sister,A,"你覺得他們的關係為何？

a. 夫妻

b. 父女

c. 女兒和兒子

d. 兄弟姐妹",,T03-03-001-02.mp3
E3-P3-33,3,3,Question 33,Does the man help her make a decision?,She is still undecided by the end.,"No, he doesn't.","Yes, he does.(正解)",She already made the decision before the conversation.,C,"這男士是否幫忙她做決定？

a. 她最後依舊未能決定

b. 不，他沒有

c. 是的，他有

d. 在這段對話前，她就已經下定決心了",,T03-03-001-03.mp3
E3-P3-34,3,3,Question 34,What is the reason for this call?,The man needs his car fixed.(正解),The man needs a new car.,The man needs to talk to someone.,The man needs someone to drive his car.,A,"以下選項何者是這通電話的原因？

a. 這男的需要修車

b. 這男的需要一台新車

c. 這男的需要和人說話

d. 這男的需要某人將他的車開走",,T03-03-010-01.mp3
E3-P3-35,3,3,Question 35,Why does he need a tow service?,He parked illegally.,Cars R' US requires it.,The car has some serious problems. (正解),He is not at home where the car is.,C,"為什麼他需要拖吊服務？

a. 他違法停車

b. 出自安心車廠的要求

c. 這台車有很嚴重的問題

d. 車子在家，但他不在",,T03-03-010-02.mp3
E3-P3-36,3,3,Question 36,When will the tow service be there to pick the man up?,It will be there tomorrow.,It will be there in a few days.,It will be there in half an hour. (正解),It will be there a few minutes.,C,"拖吊服務會在以下哪個時間接這位男士？

a. 明天會到

b. 過幾天會到

c. 半個小時會到

d. 幾分鐘後會到",,T03-03-010-03.mp3
E3-P3-37,3,3,Question 37,Why is the man so upset?,He has to pay for lunch.,He has a lot of bills to pay.,His car broke down.(正解),His friend didn't pick him up.,C,"為什麼這男的這麼失落？

a. 他必須付午餐錢

b. 他有很多帳單要付

c. 他的車子拋錨了

d. 他的朋友沒有來接他",,T03-03-003-01.mp3
E3-P3-38,3,3,Question 38,"What does the woman mean by ""You look very flustered""?",He looks happy.,He looks stressed.(正解),He looks scared.,He looks excited.,B,"這女生說""你看起來很慌亂""是什麼意思？

a. 他看起來很開心

b. 他看起來很有壓力

c. 他看起來很害怕

d. 他看起來很興奮",,T03-03-003-02.mp3
E3-P3-39,3,3,Question 39,Does the man's mood change for the better by the end of the conversation?,"Yes, because his friend offers to help him.(正解)",His mood stays the same.,"No, he gets more upset.","No, because he has to pay for his friend's lunch.",A,"在對話的尾聲，這位男人的心情有變好一點嗎？

a. 有的，因為他的朋友提供幫助

b. 他的心情還是一樣

c. 沒有，他變得更沮喪

d. 沒有，因為他必須請朋友吃午餐",,T03-03-003-03.mp3
E3-P4-1,3,4,Question 1,Where is this announcement being made?,on an airport shuttle bus(正解),in an airport terminal,on an airplane,in a taxi,A,"本則廣播會在以下何處播放？

a. 機場接駁巴士

b. 機場航站

c. 飛機上

d. 計程車",,T03-04-007-01.mp3
E3-P4-2,3,4,Question 2,"If you are flying abroad, which terminal will you depart from?",terminal one,terminal three(正解),terminal two,The information is not given.,B,"如果你要搭機出國，會從以下哪一個航站出境？

a. 第一航站

b. 第三航站

c. 第二航站

d. 這個資訊並未提供",,T03-04-007-02.mp3
E3-P4-3,3,4,Question 3,Who would be interested in this talk?,arriving passengers,people coming to pick up arriving passengers,departing passengers(正解),airline pilots,C,"誰會對這段對話感興趣？

a. 抵達的乘客

b. 來接機的人

c. 要搭機離開的乘客

d. 航空公司的機師",,T03-04-007-03.mp3
E3-P4-4,3,4,Question 4,What can we infer about the speaker?,He is Gary's son.,He is recently unemployed.,He is going to retire.,He deeply respected Gary.(正解),D,"關於演說者我們可以做以下何者推論？

a. 他是Gary的兒子。

b. 他最近失業了。

c. 他即將要退休。

d. 他對Gary深感敬佩。",,T03-04-005-01.mp3
E3-P4-5,3,4,Question 5,What was Gary's relationship to the speaker?,Gary was his superior.(正解),Gary was his subordinate.,Gary was his rival.,Gary was his client.,A,"Gary與演說者是以下何種關係？

a. Gary曾經是他的上司。 

b. Gary曾經是他的部屬。

c. Gary曾經是他的競爭對手。

d. Gary曾經是他的客戶。",,T03-04-005-02.mp3
E3-P4-6,3,4,Question 6,What is the purpose of this talk?,to welcome a new colleague to the workplace,to show gratitude to a colleague as they retire(正解),to complain about a colleague's performance,to inform colleagues about an upcoming party,B,"這段談話的用意為何？

a. 歡迎新同事加入

b. 在某位同事退休時對他表示感謝

c. 抱怨某位同事的工作表現

d. 通知同事有派對即將舉行",,T03-04-005-03.mp3
E3-P4-7,3,4,Question 7,Where can we infer that the man contracted Ebola?,France,Liberia(正解),Paris,Europe,B,"我們可以推論這名男子是在何處染上伊波拉？

a. 法國

b. 賴比瑞亞

c. 巴黎

d. 歐洲",,T03-04-001-01.mp3
E3-P4-8,3,4,Question 8,What is Mr. Tableau's profession?,doctor,journalist,nurse(正解),teacher,C,"Tableau先生的職業是什麼？

a. 醫生

b. 新聞記者

c. 護士

d. 老師",,T03-04-001-02.mp3
E3-P4-9,3,4,Question 9,What type of an announcement is this?,a news report(正解),a commercial,a weather report,a traffic announcement,A,"這是一則什麼類型的聲明稿？

a. 新聞報導

b. 商業廣告

c. 氣象報告

d. 路況通告",,T03-04-001-03.mp3
E3-P4-10,3,4,Question 10,What is probably true about this conference?,Most of the people there are doctors.,Most of the people there are teachers.,Most of the people there are dentists.(正解),Most of the people there are IT professionals.,C,"關於這個會議以下何者可能正確？

a. 在場的人大多數是醫生。

b. 在場的人大多數是老師。

c. 在場的人大多數是牙醫。

d. 在場的人大多數是資訊技術專業人員。",,T03-04-008-01.mp3
E3-P4-11,3,4,Question 11,Why is it important to always have the conference ID card?,You need it to access all of the events.(正解),You need it so people know your name.,It will get you discounts on dental equipment.,It will be used as a game piece in a team building exercise.,A,"為什麼隨身攜帶會議識別證很重要？

a. 你需要用才能參加所有的活動。

b. 你必須帶著它，這樣別人才知道你的名字。

c. 它可以讓你享有牙科器材的優惠。

d. 它會被拿來當成分組練習裡的棋子。",,T03-04-008-02.mp3
